,0,clean gender
1378,F,F
1379,,Unknown
1380,Female,F
1381,F,F
1382,F,F
1383,Female,F
1384,F,F
1385,M,M
1386,F,F
1387,F,F
1388,M,M
1389,,Unknown
1390,M,M
1391,M,M
1392,F,F
1393,,Unknown
1394,,Unknown
1395,M,M
1396,,Unknown
1397,,Unknown
1398,F,F
1399,F,F
1400,Female,F
1401,F,F
1402,M,M
1403,Female,F
1404,M,M
1405,F,F
1406,F,F
1407,,Unknown
1408,M,M
1409,,Unknown
1410,Male,M
1411,Female,F
1412,,Unknown
1413,F,F
1414,M,M
1415,F,F
1416,,Unknown
1417,M,M
1418,F,F
1419,หญิง,F
1420,Male,M
1421,M,M
1422,M,M
1423,M,M
1424,Female,F
1425,M,M
1426,F,F
1427,Female,F
1428,M,M
1429,,Unknown
1430,Male,M
1431,Male,M
1432,F,F
1433,M,M
1434,,Unknown
1435,F,F
1436,Male,M
1437,M,M
1438,F,F
1439,Male,M
1440,F,F
1441,F,F
1442,Male,M
1443,Male,M
1444,,Unknown
1445,F,F
1446,M,M
1447,Female,F
1448,M,M
1449,Female,F
1450,,Unknown
1451,F,F
1452,F,F
1453,,Unknown
1454,M,M
1455,,Unknown
1456,Female,F
1457,Female,F
1458,F,F
1459,Male,M
1460,M,M
1461,Female,F
1462,Male,M
1463,,Unknown
1464,F,F
1465,F,F
1466,Female,F
1467,Male,M
1468,,Unknown
1469,,Unknown
1470,M,M
1471,Female,F
1472,Male,M
1473,,Unknown
1474,,Unknown
1475,Female,F
1476,Female,F
1477,F,F
1478,Male,M
1479,M,M
1480,,Unknown
1481,M,M
1482,,Unknown
1483,,Unknown
1484,F,F
1485,F,F
1486,M,M
1487,,Unknown
1488,M,M
1489,Male,M
1490,M,M
1491,F,F
1492,F,F
1493,F,F
1494,F,F
1495,M,M
1496,Male,M
1497,F,F
1498,,Unknown
1499,F,F
1500,F,F
1501,,Unknown
1502,F,F
1503,F,F
1504,M,M
1505,,Unknown
1506,F,F
1507,F,F
1508,F,F
1509,F,F
1510,,Unknown
1511,F,F
1512,F,F
1513,M,M
1514,F,F
1515,Male,M
1516,Male,M
1517,F,F
1518,Male,M
1519,F,F
1520,,Unknown
1521,,Unknown
1522,Female,F
1523,Female,F
1524,F,F
1525,Female,F
1526,,Unknown
1527,F,F
1528,M,M
1529,F,F
1530,M,M
1531,,Unknown
1532,F,F
1533,Female,F
1534,Male,M
1535,Male,M
1536,,Unknown
1537,F,F
1538,F,F
1539,F,F
1540,M,M
1541,F,F
1542,F,F
1543,F,F
1544,M,M
1545,F,F
1546,Female,F
1547,,Unknown
1548,,Unknown
1549,F,F
1550,Female,F
1551,M,M
1552,F,F
1553,F,F
1554,F,F
1555,F,F
1556,F,F
1557,Female,F
1558,,Unknown
1559,Male,M
1560,M,M
1561,Female,F
1562,Male,M
1563,F,F
1564,Male,M
1565,,Unknown
1566,M,M
1567,F,F
1568,F,F
1569,M,M
1570,F,F
1571,F,F
1572,Male,M
1573,F,F
1574,F,F
1575,M,M
1576,M,M
1577,M,M
1578,F,F
1579,F,F
1580,Male,M
1581,F,F
1582,F,F
1583,F,F
1584,Female,F
1585,,Unknown
1586,,Unknown
1587,M,M
1588,F,F
1589,F,F
1590,F,F
1591,Female,F
1592,,Unknown
1593,,Unknown
1594,F,F
1595,M,M
1596,Female,F
1597,M,M
1598,Female,F
1599,M,M
1600,F,F
1601,Female,F
1602,M,M
1603,F,F
1604,Male,M
1605,F,F
1606,M,M
1607,F,F
1608,,Unknown
1609,F,F
1610,Male,M
1611,Female,F
1612,Male,M
1613,Male,M
1614,F,F
1615,Male,M
1616,F,F
1617,F,F
1618,,Unknown
1619,F,F
1620,F,F
1621,F,F
1622,Female,F
1623,,Unknown
1624,F,F
1625,M,M
1626,F,F
1627,M,M
1628,Male,M
1629,M,M
1630,,Unknown
1631,M,M
1632,,Unknown
1633,F,F
1634,F,F
1635,F,F
1636,F,F
1637,Female,F
1638,M,M
1639,M,M
1640,,Unknown
1641,M,M
1642,M,M
1643,Female,F
1644,,Unknown
1645,F,F
1646,F,F
1647,F,F
1648,F,F
1649,Female,F
1650,Female,F
1651,F,F
1652,Male,M
1653,F,F
1654,,Unknown
1655,M,M
1656,Male,M
1657,,Unknown
1658,M,M
1659,F,F
1660,F,F
1661,F,F
1662,F,F
1663,M,M
1664,F,F
1665,M,M
1666,,Unknown
1667,M,M
1668,Female,F
1669,F,F
1670,,Unknown
1671,Female,F
1672,,Unknown
1673,,Unknown
1674,Male,M
1675,,Unknown
1676,Female,F
1677,F,F
1678,Male,M
1679,Female,F
1680,Male,M
1681,F,F
1682,F,F
1683,F,F
1684,F,F
1685,Female,F
1686,Female,F
1687,F,F
1688,Male,M
1689,,Unknown
1690,F,F
1691,Male,M
1692,M,M
1693,Male,M
1694,M,M
1695,Male,M
1696,F,F
1697,F,F
1698,F,F
1699,F,F
1700,Female,F
1701,Female,F
1702,F,F
1703,M,M
1704,,Unknown
1705,Female,F
1706,,Unknown
1707,Male,M
1708,Male,M
1709,F,F
1710,F,F
1711,,Unknown
1712,F,F
1713,M,M
1714,M,M
1715,F,F
1716,F,F
1717,,Unknown
1718,,Unknown
1719,F,F
1720,,Unknown
1721,Female,F
1722,F,F
1723,Male,M
1724,F,F
1725,F,F
1726,Female,F
1727,F,F
1728,F,F
1729,,Unknown
1730,F,F
1731,Female,F
1732,Female,F
1733,Male,M
1734,M,M
1735,Female,F
1736,,Unknown
1737,M,M
1738,F,F
1739,F,F
1740,M,M
1741,Female,F
1742,F,F
1743,F,F
1744,,Unknown
1745,,Unknown
1746,M,M
1747,M,M
1748,,Unknown
1749,Male,M
1750,F,F
1751,F,F
1752,F,F
1753,Male,M
1754,Female,F
1755,Male,M
1756,M,M
1757,,Unknown
1758,M,M
1759,F,F
1760,F,F
1761,F,F
1762,M,M
1763,F,F
1764,F,F
1765,F,F
1766,,Unknown
1767,F,F
1768,F,F
1769,Male,M
1770,F,F
1771,,Unknown
1772,F,F
1773,Male,M
1774,Female,F
1775,F,F
1776,F,F
1777,,Unknown
1778,M,M
1779,Female,F
1780,F,F
1781,M,M
1782,Male,M
1783,,Unknown
1784,M,M
1785,,Unknown
1786,Male,M
1787,F,F
1788,M,M
1789,F,F
1790,,Unknown
1791,,Unknown
1792,Female,F
1793,Male,M
1794,F,F
1795,Female,F
1796,F,F
1797,F,F
1798,F,F
1799,Female,F
1800,F,F
1801,Male,M
1802,M,M
1803,M,M
1804,,Unknown
1805,M,M
1806,F,F
1807,F,F
1808,,Unknown
1809,Male,M
1810,M,M
1811,M,M
1812,,Unknown
1813,M,M
1814,,Unknown
1815,M,M
1816,M,M
1817,F,F
1818,F,F
1819,Female,F
1820,F,F
1821,Male,M
1822,F,F
1823,Female,F
1824,,Unknown
1825,,Unknown
1826,Male,M
1827,F,F
1828,F,F
1829,F,F
1830,,Unknown
1831,M,M
1832,M,M
1833,,Unknown
1834,Female,F
1835,M,M
1836,F,F
1837,F,F
1838,F,F
1839,,Unknown
1840,,Unknown
1841,F,F
1842,M,M
1843,,Unknown
1844,M,M
1845,F,F
1846,M,M
1847,F,F
1848,M,M
1849,,Unknown
1850,,Unknown
1851,F,F
1852,M,M
1853,M,M
1854,F,F
1855,M,M
1856,M,M
1857,M,M
1858,,Unknown
1859,M,M
1860,F,F
1861,F,F
1862,,Unknown
1863,,Unknown
1864,F,F
1865,,Unknown
1866,F,F
1867,,Unknown
1868,Female,F
1869,F,F
1870,Male,M
1871,Male,M
1872,Male,M
1873,M,M
1874,F,F
1875,,Unknown
1876,,Unknown
1877,F,F
1878,Male,M
1879,Female,F
1880,F,F
1881,M,M
1882,M,M
1883,Male,M
1884,,Unknown
1885,F,F
1886,Male,M
1887,Female,F
1888,Female,F
1889,M,M
1890,F,F
1891,F,F
1892,,Unknown
1893,Female,F
1894,Female,F
1895,Female,F
1896,Female,F
1897,F,F
1898,M,M
1899,Male,M
1900,M,M
1901,Male,M
1902,F,F
1903,,Unknown
1904,F,F
1905,Male,M
1906,Male,M
1907,Female,F
1908,Male,M
1909,F,F
1910,F,F
1911,,Unknown
1912,Male,M
1913,F,F
